Timestamp	datatype	data
697151279	accel	-1.1252248, 6.6460648, 7.25773
697151287	orientation	0.0, -0.0, -0.0
697151300	accel	-1.1252248, 6.6460648, 7.25773
697151307	orientation	-1.4506576, -0.73206365, 0.17626698
697151320	accel	-1.1060823, 6.6281185, 7.1476603
697151327	orientation	-1.4575707, -0.734316, 0.16350713
697151340	accel	-1.1874382, 6.5228343, 6.943971
697151347	orientation	-1.4596617, -0.73602283, 0.15838906
697151360	accel	-1.3549358, 6.6460648, 7.132107
697151368	orientation	-1.4596312, -0.7370043, 0.15679055
697151380	accel	-1.4796617, 6.7130637, 7.237391
697151388	orientation	-1.4590019, -0.73678184, 0.15656419
697151400	accel	-1.1192428, 6.65444, 7.2433734
697151408	orientation	-1.4616014, -0.7368407, 0.15230864
697151420	accel	-0.96490574, 6.5946193, 7.449156
697151428	orientation	-1.469617, -0.73405796, 0.140733
697151441	accel	-1.055833, 6.6161547, 7.534101
697151448	orientation	-1.477109, -0.7320766, 0.13058548
697151461	accel	-1.2855439, 6.832705, 7.7365937
697151468	orientation	-1.48249, -0.7324598, 0.122428626
697151481	accel	-1.0307083, 6.899704, 7.858628
697151488	orientation	-1.4863245, -0.73618567, 0.115452595
697151501	accel	-0.29222345, 6.8721867, 7.413264
697151509	orientation	-1.4937901, -0.7416541, 0.10427544
697151521	accel	0.050249275, 6.855437, 7.1763744
697151529	orientation	-1.5045227, -0.74858165, 0.08904963
697151541	accel	-0.11724831, 7.056733, 7.049555
697151549	orientation	-1.5114682, -0.7545075, 0.078847684
697151561	accel	-0.63559353, 7.120143, 6.8398833
697151569	orientation	-1.5152942, -0.7607055, 0.076774426
697151582	accel	-0.62482584, 6.910472, 7.2230344
697151589	orientation	-1.5203575, -0.7641277, 0.075900905
697151602	accel	0.023928227, 6.873383, 7.146464
697151609	orientation	-1.526147, -0.76459545, 0.07309885
697151622	accel	-0.3699902, 7.225427, 6.155237
697151629	orientation	-1.5295466, -0.7656094, 0.075808555
697151642	accel	-0.8895318, 7.036394, 6.276075
697151650	orientation	-1.5287083, -0.76324135, 0.093595475
